msj_ort;TAG;msj_stemm;msj_noplural;msj_noemoji;msj_emoji
con lluvia igual sale  ;0;con lluvi igual sal;con lluvia igual sale;con lluvia igual sale;       
creo hoy mas uno jugo bajo lluvia   \U0001f64b incluyo  ;0;cre hoy mas uno jug baj lluvi \u0001f64b inclu;creo hoy mas uno jugo bajo lluvia \u0001f64b incluyo;creo hoy mas uno jugo bajo lluvia   incluyo;              \U0001f64b  
me meti pileta estoy tomando sol  mañana llueve ;0;me meti pilet estoy tom sol mañan lluev;me meti pileta estoy tomando sol mañana llueve;me meti pileta estoy tomando sol mañana llueve;               
de regalo cumple pedi barba tormenta electrica ;0;de regal cumpl pedi barb torment electr;de regalo cumple pedi barba tormenta electrica;de regalo cumple pedi barba tormenta electrica;             
que hermosura sonido lluvia dormir  \U0001f60d \U0001f49b \U0001f49b \U0001f49b ;0;que hermosur son lluvi dorm \u0001f60d \u0001f49b \u0001f49b \u0001f49b;que hermosura sonido lluvia dormir \u0001f60d \u0001f49b \u0001f49b \u0001f49b;que hermosura sonido lluvia dormir        ;          \U0001f60d \U0001f49b \U0001f49b \U0001f49b
se viene tormenta pero salgo igual    ;0;se vien torment per salg igual;se viene tormenta pero salgo igual;se viene tormenta pero salgo igual;           
a verga viene tremenda tormenta ;0;a verg vien tremend torment;a verga viene tremenda tormenta;a verga viene tremenda tormenta;         
buen dia gamers dia especial viciar pero cuiden pcs con lluvia fuente mas barata certificada como       macri hdp    ;0;buen dia gamers dia especial vici per cuid pcs con lluvi fuent mas barat certific com macri hdp;buen dia gamer dia especial viciar pero cuiden pc con lluvia fuente mas barata certificada como macri hdp;buen dia gamers dia especial viciar pero cuiden pcs con lluvia fuente mas barata certificada como macri hdp;                                   
algo mejor dormir escuchando lluvia aire     ;0;algo mejor dorm escuch lluvi air;algo mejor dormir escuchando lluvia aire;algo mejor dormir escuchando lluvia aire;           
salir crocs con lluvia male sal ;0;sal crocs con lluvi mal sal;salir croc con lluvia male sal;salir crocs con lluvia male sal;           
venirme trabajar con lluvia ver novio sigue durmiendo placidamente dio bronca ;1;ven trabaj con lluvi ver novi sig durm placid dio bronc;venirme trabajar con lluvia ver novio sigue durmiendo placidamente dio bronca;venirme trabajar con lluvia ver novio sigue durmiendo placidamente dio bronca;                     
para no preocupen estoy hablando lluvia cumple no tengo crisis psicotica pero igual siempre estoy cerca ;0;par no preocup estoy habl lluvi cumpl no teng crisis psicot per igual siempr estoy cerc;para no preocupen estoy hablando lluvia cumple no tengo crisi psicotica pero igual siempre estoy cerca;para no preocupen estoy hablando lluvia cumple no tengo crisis psicotica pero igual siempre estoy cerca;                               
lluvia  netflix  no pensalo    \U0001f440 ;0;lluvi netflix no pensal \u0001f440;lluvia netflix no pensalo \u0001f440;lluvia netflix no pensalo  ;        \U0001f440
por favor como cago miedo cuando llueve hay viento vez literalmente caniche ;1;por favor com cag mied cuand lluev hay vient vez literal canich;por favor como cago miedo cuando llueve hay viento vez literalmente caniche;por favor como cago miedo cuando llueve hay viento vez literalmente caniche;                       
una tormenta vaso agua  ;0;una torment vas agu;una tormenta vaso agua;una tormenta vaso agua;       
lluvia zamba  linda combinacion   \U0001f495 ;1;lluvi zamb lind combinacion \u0001f495;lluvia zamba linda combinacion \u0001f495;lluvia zamba linda combinacion  ;        \U0001f495
   mil rayos segundo caen menos no se creo quede corto    ;0;mil ray segund caen men no se cre qued cort;mil rayo segundo caen meno no se creo quede corto;mil rayos segundo caen menos no se creo quede corto;                   
 ahora   graniza capital provincial  mandanos video desde donde estes   ;1;ahor graniz capital provincial mandan vide desd dond estes;ahora graniza capital provincial mandano video desde donde este;ahora graniza capital provincial mandanos video desde donde estes;                 
queres ver lluvia meteoritos conmigo     \u2728 \U0001f320  ;0;quer ver lluvi meteorit conmig \u2728 \u0001f320;quere ver lluvia meteorito conmigo \u2728 \u0001f320;queres ver lluvia meteoritos conmigo    ;          \u2728 \U0001f320
alguien explica momento vino terrible tormenta  ;1;algui explic moment vin terribl torment;alguien explica momento vino terrible tormenta;alguien explica momento vino terrible tormenta;           
domingo lluvia para mirar netflix  ah no  no tengo internet ;1;doming lluvi par mir netflix ah no no teng internet;domingo lluvia para mirar netflix ah no no tengo internet;domingo lluvia para mirar netflix ah no no tengo internet;                   
si no parte rayo parto medio yo ;0;si no part ray part medi yo;si no parte rayo parto medio yo;si no parte rayo parto medio yo;             
se viene lluvia  \U0001f327 ;1;se vien lluvi \u0001f327;se viene lluvia \u0001f327;se viene lluvia  ;      \U0001f327
al fin paro lluvia    ;1;al fin par lluvi;al fin paro lluvia;al fin paro lluvia;       
la lluvia complico final turismo carretera             carburando     via  ;1;la lluvi complic final turism carreter carbur via;la lluvia complico final turismo carretera carburando via;la lluvia complico final turismo carretera carburando via;               
oriente medio llena  \u2018 desiertos lodo \u2019 intensas lluvias  ;1;orient medi llen \u2018 desiert lod \u2019 intens lluvi;oriente medio llena \u2018 desierto lodo \u2019 intensa lluvia;oriente medio llena   desiertos lodo   intensas lluvias;      \u2018     \u2019    
y si eso pasa voy salir afuera unicamente sacarme ganas dar vueltas tornado  ;0;y si eso pas voy sal afuer unic sac gan dar vuelt torn;y si eso pasa voy salir afuera unicamente sacarme gana dar vuelta tornado;y si eso pasa voy salir afuera unicamente sacarme ganas dar vueltas tornado;                         
  creo ron ron balu tambien dijeron no suspendia lluvia  todos sabemos paso despues  \U0001f923 ;0;cre ron ron balu tambi dijeron no suspendi lluvi tod sab pas despu \u0001f923;creo ron ron balu tambien dijeron no suspendia lluvia todo sabemo paso despue \u0001f923;creo ron ron balu tambien dijeron no suspendia lluvia todos sabemos paso despues  ;                          \U0001f923
que linda lluvia ;1;que lind lluvi;que linda lluvia;que linda lluvia;     
sali ver si estaba lluvia estrellas estaba nublado  puede fallar ;0;sali ver si estab lluvi estrell estab nubl pued fall;sali ver si estaba lluvia estrella estaba nublado puede fallar;sali ver si estaba lluvia estrellas estaba nublado puede fallar;                   
ahora madrugada       lluvia estrellas si no desnubla voy tener empezar matar rehenes ;0;ahor madrug lluvi estrell si no desnubl voy ten empez mat rehen;ahora madrugada lluvia estrella si no desnubla voy tener empezar matar rehene;ahora madrugada lluvia estrellas si no desnubla voy tener empezar matar rehenes;                       
me tome tarde hoy aprovechando lluvia  hice pizzas caseras  milanesas  quipe  budin pan ensalada frutas   amor tengo cocina \u2665  ;1;me tom tard hoy aprovech lluvi hic pizz caser milanes quip budin pan ensal frut amor teng cocin \u2665;me tome tarde hoy aprovechando lluvia hice pizza casera milanesa quipe budin pan ensalada fruta amor tengo cocina \u2665;me tome tarde hoy aprovechando lluvia hice pizzas caseras milanesas quipe budin pan ensalada frutas amor tengo cocina  ;                                    \u2665
esta lloviendo fin puta madre como amo lluvia como amo olor tierra mojada ;1;esta llov fin put madr com amo lluvi com amo olor tierr moj;esta lloviendo fin puta madre como amo lluvia como amo olor tierra mojada;esta lloviendo fin puta madre como amo lluvia como amo olor tierra mojada;                         
lluvia vida  \U0001f60d \U0001f60d \U0001f60d ;1;lluvi vid \u0001f60d \u0001f60d \u0001f60d;lluvia vida \u0001f60d \u0001f60d \u0001f60d;lluvia vida      ;    \U0001f60d \U0001f60d \U0001f60d
linda lluvia ;1;lind lluvi;linda lluvia;linda lluvia;   
acabo leer partir     centennial  rayos voy tener cambiar identificacion año ;0;acab leer part centennial ray voy ten cambi identificacion año;acabo leer partir centennial rayo voy tener cambiar identificacion año;acabo leer partir centennial rayos voy tener cambiar identificacion año;                   
llegue gimnasio ya estoy arrepintiendo  como no quede dormir con hermosa tormenta  \U0001f645 ;1;lleg gimnasi ya estoy arrepint com no qued dorm con hermos torment \u0001f645;llegue gimnasio ya estoy arrepintiendo como no quede dormir con hermosa tormenta \u0001f645;llegue gimnasio ya estoy arrepintiendo como no quede dormir con hermosa tormenta  ;                        \U0001f645
ni loca como viaje moto con lluvia     ;1;ni loc com viaj mot con lluvi;ni loca como viaje moto con lluvia;ni loca como viaje moto con lluvia;             
le dije papa  \u201csi saco foto rayo das     pesos haces tortas fritas \u201d aca estoy con     pesos cocinandome  ;0;le dij pap \u201csi sac fot ray das pes hac tort frit \u201d aca estoy con pes cocin;le dije papa \u201csi saco foto rayo da peso hace torta frita \u201d aca estoy con peso cocinandome;le dije papa   saco foto rayo das pesos haces tortas fritas   aca estoy con pesos cocinandome;      \u201csi                 \u201d          
como hago levantarme cama e ir escuela con lluvia yahoo respuestas ;1;com hag levant cam e ir escuel con lluvi yaho respuest;como hago levantarme cama e ir escuela con lluvia yahoo respuesta;como hago levantarme cama e ir escuela con lluvia yahoo respuestas;                     
que onda tormenta ;1;que onda torment;que onda tormenta;que onda tormenta;     
me fui particular agarro lluvia  llegue empapada  sali ahi cai barro culpa gomones  llegue casa no hay nadie dejaron fuera  hermoso jueves  ;1;me fui particul agarr lluvi lleg empap sali ahi cai barr culp gomon lleg cas no hay nadi dej fuer hermos juev;me fui particular agarro lluvia llegue empapada sali ahi cai barro culpa gomone llegue casa no hay nadie dejaron fuera hermoso jueve;me fui particular agarro lluvia llegue empapada sali ahi cai barro culpa gomones llegue casa no hay nadie dejaron fuera hermoso jueves;                                           
me falta compañia ver tormenta electrica  \U0001f60d \U0001f60d ;1;me falt compañi ver torment electr \u0001f60d \u0001f60d;me falta compañia ver tormenta electrica \u0001f60d \u0001f60d;me falta compañia ver tormenta electrica    ;            \U0001f60d \U0001f60d
pinta ver peli esperar venga tormenta  \U0001f60e ;1;pint ver peli esper veng torment \u0001f60;pinta ver peli esperar venga tormenta \u0001f60e;pinta ver peli esperar venga tormenta  ;            \U0001f60e
no tener miedo trueno rayo algo  pero hoy ahora pieza fumando tengo mas miedo nunca  sopla viento yo ya flashie   veces dieron   paros cardiacos acv ;1;no ten mied truen ray algo per hoy ahor piez fum teng mas mied nunc sopl vient yo ya flashi vec dieron par cardiac acv;no tener miedo trueno rayo algo pero hoy ahora pieza fumando tengo mas miedo nunca sopla viento yo ya flashie vece dieron paro cardiaco acv;no tener miedo trueno rayo algo pero hoy ahora pieza fumando tengo mas miedo nunca sopla viento yo ya flashie veces dieron paros cardiacos acv;                                                 
cordoba capital con tormentas momento actividad electrica    ;1;cordob capital con torment moment activ electr;cordoba capital con tormenta momento actividad electrica;cordoba capital con tormentas momento actividad electrica;             
   lm hay promedio   asesinato cada   dias  responsable eso generar pobreza sostenerla  cada vez llueve  gente inunda  hacer vivir vecinos marginalidad robandoles dignidad  puedo seguir  lamentablemente  lista larga  ;0;lm hay promedi asesinat cad dias respons eso gener pobrez sosten cad vez lluev gent inund hac viv vecin marginal rob dignid pued segu lament list larg;lm hay promedio asesinato cada dia responsable eso generar pobreza sostenerla cada vez llueve gente inunda hacer vivir vecino marginalidad robandole dignidad puedo seguir lamentablemente lista larga;lm hay promedio asesinato cada dias responsable eso generar pobreza sostenerla cada vez llueve gente inunda hacer vivir vecinos marginalidad robandoles dignidad puedo seguir lamentablemente lista larga;                                                     
la parte fea llegar casa acostarme sola con tormenta ;1;la part fea lleg cas acost sol con torment;la parte fea llegar casa acostarme sola con tormenta;la parte fea llegar casa acostarme sola con tormenta;                 
sos lluvia pink floyd  ;0;sos lluvi pink floyd;so lluvia pink floyd;sos lluvia pink floyd;       
que lluvia mierda ;1;que lluvi mierd;que lluvia mierda;que lluvia mierda;     
mañana   sino llueve lpm  \U0001f62c ;1;mañan sin lluev lpm \u0001f62c;mañana sino llueve lpm \u0001f62c;mañana sino llueve lpm  ;        \U0001f62c
